"","current_seq_name","a_ratio","c_ratio","g_ratio","t_ratio","date"
"2","OQ920097.1 |Mutant Human coronavirus 229E isolate SG/1340/2010_C2R10_truncated, complete genome",0.272856963034448,0.162925355599379,0.216926110854697,0.347291570511476,NA
"3","OQ920098.1 |Mutant Human coronavirus 229E isolate SG/2326/2011_C2R10_truncated, complete genome",0.271649446220174,0.1656507842117,0.215082137813127,0.347617631754999,NA
"4","OQ920099.1 |Mutant Human coronavirus 229E isolate SG/2613/2011_C2R10_truncated, complete genome",0.271325230418977,0.165791502955973,0.215180112363676,0.347703154261374,NA
"5","OQ920100.1 |Mutant Human coronavirus 229E isolate TZ/4033K/2017_C2R10_truncated, complete genome",0.272496144708873,0.163172592006002,0.216854916017172,0.347476347267953,NA
"6","OQ920101.1 |Mutant Human coronavirus 229E isolate UK/VR740/1973_C2R10_truncated, complete genome",0.271486655126605,0.164445875769897,0.216899480697234,0.347167988406264,NA
"7","ON554097.1 |Human coronavirus 229E isolate HCoV-229E/BIME001-51/2015, complete genome",0.271389245733162,0.165755184437511,0.21512204074142,0.347733529087906,NA
"8","ON554098.1 |Human coronavirus 229E isolate HCoV-229E/BIME020-63/2016, complete genome",0.271571365574011,0.165662207849478,0.215125679847126,0.347640746729384,NA
"9","ON554099.1 |Human coronavirus 229E isolate HCoV-229E/BIME027-60/2016, complete genome",0.271587692533912,0.165569973899937,0.215086571334044,0.347755762232107,NA
"10","ON554100.1 |Human coronavirus 229E isolate HCoV-229E/BIME030-61/2016, complete genome",0.27165991902834,0.16543982333456,0.21509017298491,0.34781008465219,NA
"11","ON554101.1 |Human coronavirus 229E isolate HCoV-229E/BIME032-64/2016, complete genome",0.271470588235294,0.165661764705882,0.215,0.347867647058824,NA
"12","ON554102.1 |Human coronavirus 229E isolate HCoV-229E/BIME038-59/2016, complete genome",0.271306713728951,0.165747481432458,0.215236414442238,0.347709390396353,NA
"13","ON554103.1 |Human coronavirus 229E isolate HCoV-229E/BIME050-58/2016, complete genome",0.271947194719472,0.165126512651265,0.214961496149615,0.347964796479648,NA
"14","ON554105.1 |Human coronavirus 229E isolate HCoV-229E/BIME060-54/2016, complete genome",0.271610387699551,0.165526373868903,0.215184286029574,0.347678952401972,NA
"15","ON554106.1 |Human coronavirus 229E isolate HCoV-229E/BIME061-55/2016, complete genome",0.271540949860315,0.165233053962653,0.215188942802529,0.348037053374504,NA
"16","ON554107.1 |Human coronavirus 229E isolate HCoV-229E/BIME110-17/2017, complete genome",0.272494138335287,0.165042497069168,0.215159730363423,0.347303634232122,NA
"17","ON554108.1 |Human coronavirus 229E isolate HCoV-229E/BIME118-39/2017, complete genome",0.27163894091293,0.165546619661415,0.215012302155631,0.347802137270023,NA
"18","ON554109.1 |Human coronavirus 229E isolate HCoV-229E/BIME125-20/2017, complete genome",0.272213662044171,0.165529385868369,0.214872697923545,0.347384254163915,NA
"19","ON554110.1 |Human coronavirus 229E isolate HCoV-229E/BIME126-21/2017, complete genome",0.271668870280593,0.165491405905685,0.215109446158366,0.347730277655355,NA
"20","ON554111.1 |Human coronavirus 229E isolate HCoV-229E/BIME129-43/2017, complete genome",0.271713615023474,0.165456279342723,0.215008802816901,0.347821302816901,NA
"21","ON554112.1 |Human coronavirus 229E isolate HCoV-229E/BIME140-42/2017, complete genome",0.271433823529412,0.165661764705882,0.215257352941176,0.347647058823529,NA
"22","ON554113.1 |Human coronavirus 229E isolate HCoV-229E/BIME148-44/2017, complete genome",0.271682455753837,0.165491664830726,0.215025335977087,0.347800543438349,NA
"23","ON554114.1 |Human coronavirus 229E isolate HCoV-229E/BIME151-16/2017, complete genome",0.27138556428519,0.165724355679565,0.215103898964682,0.347786181070563,NA
"24","ON554115.1 |Human coronavirus 229E isolate HCoV-229E/BIME152-22/2017, complete genome",0.271752304697543,0.165534212362728,0.214896977265215,0.347816505674514,NA
"25","ON554116.1 |Human coronavirus 229E isolate HCoV-229E/BIME153-23/2017, complete genome",0.271568195179306,0.165527630805409,0.215167548500882,0.347736625514403,NA
"26","ON554117.1 |Human coronavirus 229E isolate HCoV-229E/BIME154-36/2017, complete genome",0.271652965355255,0.165516735173224,0.215171755725191,0.34765854374633,NA
"27","ON554118.1 |Human coronavirus 229E isolate HCoV-229E/BIME155-40/2017, complete genome",0.271575468233566,0.16558942343004,0.215056922511935,0.347778185824458,NA
"28","ON554119.1 |Human coronavirus 229E isolate HCoV-229E/BIME161-50/2017, complete genome",0.271647171338189,0.165783859339366,0.215073935113661,0.347495034208784,NA
"29","ON554120.1 |Human coronavirus 229E isolate HCoV-229E/BIME168-45/2017, complete genome",0.271550931882513,0.165643495202735,0.215160092636842,0.347645480277911,NA
"30","ON554121.1 |Human coronavirus 229E isolate HCoV-229E/BIME171-19/2017, complete genome",0.27207041995232,0.165413533834586,0.214964239867963,0.347551806345131,NA
"31","ON554122.1 |Human coronavirus 229E isolate HCoV-229E/BIME176-46/2017, complete genome",0.271421222810112,0.165674603174603,0.215241034685479,0.347663139329806,NA
"32","ON554123.1 |Human coronavirus 229E isolate HCoV-229E/BIME178-37/2017, complete genome",0.271404958677686,0.165693296602388,0.215169880624426,0.3477318640955,NA
"33","ON554124.1 |Human coronavirus 229E isolate HCoV-229E/BIME186-38/2017, complete genome",0.271555522914219,0.165393654524089,0.215151292596945,0.347899529964747,NA
"34","ON554125.1 |Human coronavirus 229E isolate HCoV-229E/BIME209-34/2018, complete genome",0.271618543824848,0.16538094188524,0.215340533392109,0.347659980897803,NA
